Building Address,Building Name,Building Park,Submarket Name,Submarket Cluster,County Name,PropertyType,Building Class,Building Status,Year Built,Year Renovated,Number Of Stories,Last Sale Price,Last Sale Date,For Sale Status,For Sale Price,Land Area (AC),Rentable Building Area,Typical Floor Size,Number Of Elevators,Core Factor,Percent Leased,Average Weighted Rent,Services,Total New Space (SF),Total Relet Space (SF),Total Sublet Space (SF),Total Vacant Avail Relet Space (SF),Total Vacant Avail Sublet Space (SF),Max Building Contiguous Space,Max Floor Contiguous Space,Total Available Space (SF),Amenities,Zoning,Number Of Parking Spaces,Parking Ratio,Building Operating Expenses,Building Tax Expenses,Location 1,Borough,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
1628-1630 Broadway,,,Times Square,Midtown,Manhattan,Retail,,Existing,1911,,3,,,N,,0.065,8034,2678,0,,100,46.8,Sublet - Plus Electric,,0,5000,0,5000,5000,2500,5000,,C6-7T,,,"2011 Tax @ $35.84/sf; 2011 Ops @ $11.10/sf, 2010 Est Ops @ $8.21/sf","2011 Tax @ $35.84/sf; 2011 Ops @ $11.10/sf, 2010 Est Ops @ $8.21/sf","(40.761278, -73.984142)",1,10019,40.761278,-73.984142,5,4,125,1024799,1010210037,Midtown-Midtown South                                                      
145 W 45th St,,,Times Square,Midtown,Manhattan,Office,B,Existing,1920,,12,12600000,12/7/1995,N,,0.1581,81600,6800,3,,100,Negotiable,,,2106,0,0,0,2106,2106,2106,"24/7 Building Access, Restaurant, Security System","C655, Manhattan",,,"2011 Tax @ $7.30/sf; 2011 Ops @ $10.28/sf, 2010 Est Ops @ $15.76/sf","2011 Tax @ $7.30/sf; 2011 Ops @ $10.28/sf, 2010 Est Ops @ $15.76/sf","(40.757336, -73.984017)",1,10036,40.757336,-73.984017,5,4,119,1022634,1009980012,Midtown-Midtown South                                                      
750 Seventh Ave,,,Times Square,Midtown,Manhattan,Office,A,Existing,1990,,36,485000000,5/3/2007,N,,0.598,591169,19194,11,,99.44,Negotiable,,,48349,14613,3329,14613,45020,17749,62962,"Concierge, Energy Star Labeled, Metro/Subway, Property Manager on Site","C67T, Manhattan",,,"2010 Tax @ $11.50/sf, 2011 Est Tax @ $11.60/sf; 2001 Ops @ $15.97/sf, 2011 Est Ops @ $14.94/sf","2010 Tax @ $11.50/sf, 2011 Est Tax @ $11.60/sf; 2001 Ops @ $15.97/sf, 2011 Est Ops @ $14.94/sf","(40.760753, -73.983525)",1,10019,40.760753,-73.983525,5,4,125,1024795,1010210026,Midtown-Midtown South                                                      
1674 Broadway,,,Columbus Circle,Midtown,Manhattan,Office,C,Existing,1921,1985,9,,,N,,0.1205,46000,5111,1,,95.43,30,Direct - Plus Electric,,2100,0,2100,0,2100,2100,2100,,C6-7.5,,,"2010 Tax @ $10.54/sf; 1997 Ops @ $2.80/sf, 2010 Est Ops @ $15.83/sf","2010 Tax @ $10.54/sf; 1997 Ops @ $2.80/sf, 2010 Est Ops @ $15.83/sf","(40.762861, -73.983109)",1,10019,40.762861,-73.983109,5,4,131,1024831,1010240131,Midtown-Midtown South                                                      
256-262 W 46th St,,Show Biz Parking,Times Square,Midtown,Manhattan,Retail,,Existing,,,,1166620,10/14/2005,N,,0.2399,5808,,0,,0,-,,,,,,,,,,,"C65, New York",90,,,,"(40.759291, -73.986767)",1,10036,40.759291,-73.986767,5,3,119,1000000,1010170058,Midtown-Midtown South                                                      
1675 Broadway,,,Columbus Circle,Midtown,Manhattan,Office,A,Existing,1989,,35,,,N,,0.5814,761092,21745,18,,100,Negotiable,,,0,3750,0,0,3750,2350,3750,"Atrium, Banking, Concierge",C6-7.5,,0.08,"2011 Tax @ $14.48/sf; 2007 Ops @ $31.78/sf, 2011 Est Ops @ $13.70/sf","2011 Tax @ $14.48/sf; 2007 Ops @ $31.78/sf, 2011 Est Ops @ $13.70/sf","(40.762963, -73.983073)",1,10019,40.762963,-73.983073,5,3,131,1076199,1010240015,Midtown-Midtown South                                                      
1460 Broadway,,,Penn Plaza/Garment,Midtown,Manhattan,Office,A,Existing,1951,,17,7200000000,10/4/2002,N,,0.26,215000,12647,5,,100,-,,,,,,,,,,"24/7 Building Access, Bus Line, Metro/Subway, On Site Management, Property Manager on Site",C5-3,,,"2011 Tax @ $7.73/sf; 2001 Ops @ $17.00/sf, 2011 Est Ops @ $12.26/sf","2011 Tax @ $7.73/sf; 2001 Ops @ $17.00/sf, 2011 Est Ops @ $12.26/sf","(40.754998, -73.986284)",1,10036,40.754998,-73.986284,5,4,113,1022573,1009947504,Midtown-Midtown South                                                      
247 W 46th St,,,Times Square,Midtown,Manhattan,Retail,,Existing,2006,,1,820000,3/12/2004,N,,0.1148,5000,5000,0,,100,-,,,,,,,,,,,C6-4,,,2008 Tax @ $61.11/sf,2008 Tax @ $61.11/sf,"(40.759228, -73.986572)",1,10036,40.759228,-73.986572,5,3,125,1024736,1010187502,Midtown-Midtown South                                                      
201 W 52nd St,,,Columbus Circle,Midtown,Manhattan,Office,B,Existing,1939,,3,,,N,,0.1274,22000,5500,1,,100,-,,,,,,,,,,"Property Manager on Site, Restaurant",C6-6.5,,,2008 Tax @ $11.17/sf,2008 Tax @ $11.17/sf,"(40.762406, -73.982474)",1,10019,40.762406,-73.982474,5,4,131,1024827,1010240029,Midtown-Midtown South                                                      
251 W 50th St,,,Columbus Circle,Midtown,Manhattan,Retail,,Existing,,,2,,,N,,,2614,1306,0,,100,-,,,,,,,,,,,,,,2010 Tax @ $21.96/sf; 2010 Est Ops @ $5.81/sf,2010 Tax @ $21.96/sf; 2010 Est Ops @ $5.81/sf,"(40.761851, -73.985041)",1,10019,40.761851,-73.985041,5,3,131,1024814,1010220101,Midtown-Midtown South                                                      
